conteneur_id,taille,type,client_proprietaire,client_locataire,poids_brut_kg,statut_douane
CONT000001,"20""",OPENTOP,CLIENT032,,21615.389998470208,LIBERE
CONT000002,"40""",REEFER,CLIENT015,,28058.38144420434,LIBERE
CONT000003,"40""",DRY,CLIENT004,,20803.912383886807,EN_ATTENTE
CONT000004,"40""",DRY,CLIENT034,,23453.938120743926,LIBERE
CONT000005,"20""",DRY,CLIENT013,,29062.62911197099,EN_ATTENTE
CONT000006,"40""",DRY,CLIENT041,,16068.72008571247,LIBERE
CONT000007,"40""",DRY,CLIENT034,CLIENT038,11892.521882670146,LIBERE
CONT000008,"40""",DRY,CLIENT038,,16693.93096744202,LIBERE
CONT000009,"20""",DRY,CLIENT010,,12275.282329606507,EN_ATTENTE
CONT000010,"20""",DRY,CLIENT029,,15062.155426995536,LIBERE
CONT000011,"20""",DRY,CLIENT021,CLIENT041,9574.519191320436,EN_ATTENTE
CONT000012,"40""",DRY,CLIENT005,,22491.214782077317,EN_ATTENTE
CONT000013,"40""",DRY,CLIENT010,CLIENT006,12291.23264804412,EN_ATTENTE
CONT000014,"40""",DRY,CLIENT019,,14905.934971598668,LIBERE
CONT000015,"20""",DRY,CLIENT013,,26480.60138532288,LIBERE
CONT000016,"40""",DRY,CLIENT039,,26305.276360899446,LIBERE
CONT000017,"20""",DRY,CLIENT002,,24193.571441669956,LIBERE
CONT000018,"40""",DRY,CLIENT021,,13212.152570443615,BLOQUE
CONT000019,"45""",DRY,CLIENT007,,15406.143923504793,LIBERE
CONT000020,"20""",DRY,CLIENT004,,24867.430622753916,LIBERE
CONT000021,"20""",DRY,CLIENT037,,24038.19517609439,LIBERE
CONT000022,"40""",TANK,CLIENT002,,26507.73671166806,LIBERE
CONT000023,"40""",OPENTOP,CLIENT029,,28955.159735215235,LIBERE
CONT000024,"40""",DRY,CLIENT035,,20453.062726026306,LIBERE
CONT000025,"20""",OPENTOP,CLIENT032,CLIENT027,9028.391024607936,LIBERE
CONT000026,"40""",REEFER,CLIENT002,,22168.51135198614,LIBERE
CONT000027,"40""",DRY,CLIENT027,,19688.481431369477,LIBERE
CONT000028,"20""",FLATRACK,CLIENT009,CLIENT037,27367.962153175908,LIBERE
CONT000029,"20""",DRY,CLIENT039,,14440.55165210901,EN_ATTENTE
CONT000030,"40""",DRY,CLIENT027,,18845.678417830226,LIBERE
CONT000031,"20""",OPENTOP,CLIENT002,,26299.413971242117,LIBERE
CONT000032,"20""",REEFER,CLIENT011,CLIENT013,28909.114358886553,EN_ATTENTE
CONT000033,"40""",OPENTOP,CLIENT027,,21599.876392107544,LIBERE
CONT000034,"40""",DRY,CLIENT038,CLIENT036,26161.268485805016,LIBERE
CONT000035,"20""",REEFER,CLIENT017,CLIENT029,34328.872555723785,LIBERE
CONT000036,"20""",REEFER,CLIENT007,,27369.164604558937,LIBERE
CONT000037,"20""",REEFER,CLIENT034,,29816.88064622161,LIBERE
CONT000038,"40""",DRY,CLIENT001,,27063.90463468249,LIBERE
CONT000039,"20""",DRY,CLIENT037,,24614.49145292948,EN_ATTENTE
CONT000040,"40""",OPENTOP,CLIENT050,,26705.759874083218,LIBERE
CONT000041,"40""",DRY,CLIENT003,,28128.33673882503,LIBERE
CONT000042,"20""",DRY,CLIENT009,CLIENT046,20714.212217918586,LIBERE
CONT000043,"45""",TANK,CLIENT014,,23882.686073370747,LIBERE
CONT000044,"45""",DRY,CLIENT007,,28570.00247046046,BLOQUE
CONT000045,"45""",OPENTOP,CLIENT029,,9459.618845794785,EN_ATTENTE
CONT000046,"20""",DRY,CLIENT031,CLIENT037,17425.763876570676,LIBERE
CONT000047,"45""",REEFER,CLIENT015,CLIENT031,9348.4276913966,LIBERE
CONT000048,"45""",DRY,CLIENT043,,25768.62552972764,LIBERE
CONT000049,"40""",REEFER,CLIENT011,,15249.153729525831,LIBERE
CONT000050,"20""",OPENTOP,CLIENT034,CLIENT048,30269.010260174517,EN_ATTENTE
CONT000051,"40""",FLATRACK,CLIENT003,,13545.143058918144,LIBERE
CONT000052,"40""",REEFER,CLIENT032,,23558.19447196416,LIBERE
CONT000053,"40""",DRY,CLIENT005,CLIENT025,21135.87392731214,LIBERE
CONT000054,"20""",DRY,CLIENT044,,23815.906966299957,LIBERE
CONT000055,"20""",DRY,CLIENT040,,22640.340671052832,LIBERE
CONT000056,"40""",OPENTOP,CLIENT002,,30444.75298483683,LIBERE
CONT000057,"40""",DRY,CLIENT016,,25227.85919951907,LIBERE
CONT000058,"40""",REEFER,CLIENT003,CLIENT029,21741.998261970915,BLOQUE
CONT000059,"40""",DRY,CLIENT039,,10014.640605694836,LIBERE
