operation_id,timestamp,conteneur_id,type_operation,zone,engin,duree_minutes,operateur,urgence,erreur,completed
OP000001,2026-01-01 14:41:29.098209,CONT003714,DEBARQUEMENT_CAMION,AIRE_DECONSOLIDATION,PORTIQUE_01,33.3,OPE018,False,False,True
OP000002,2026-01-01 16:17:57.280180,CONT004838,DEBARQUEMENT_TRAIN,ZONE_B_STOCKAGE,PORTIQUE_03,42.2,OPE023,False,False,True
OP000003,2026-01-01 12:44:15.261321,CONT004372,DECONSOLIDATION,ZONE_B_STOCKAGE,GERBEUR_05,148.4,OPE014,False,False,True
OP000004,2026-01-01 11:55:38.908651,CONT004479,INSPECTION_DOUANE,ZONE_B_STOCKAGE,PORTIQUE_02,66.0,OPE009,False,False,True
OP000005,2026-01-01 15:22:49.540346,CONT000573,TRANSFERT_ZONE,AIRE_DECONSOLIDATION,GERBEUR_07,10.3,OPE008,False,False,True
OP000006,2026-01-01 17:25:34.621621,CONT003255,TRANSFERT_ZONE,AIRE_DECONSOLIDATION,TRACTEUR_02,19.8,OPE016,False,False,True
OP000007,2026-01-01 15:40:14.917091,CONT000204,CHARGEMENT_CAMION,ZONE_B_STOCKAGE,GERBEUR_12,36.8,OPE003,False,False,True
OP000008,2026-01-01 19:30:28.827735,CONT002850,CHARGEMENT_CAMION,ZONE_A_STOCKAGE,GERBEUR_01,18.6,OPE007,False,False,True
OP000009,2026-01-01 15:11:06.404808,CONT002736,DEBARQUEMENT_CAMION,QUAI_1_FERROVIAIRE,TRACTEUR_06,20.7,OPE014,False,False,True
OP000010,2026-01-01 06:00:00.620203,CONT002479,CHARGEMENT_CAMION,ZONE_B_STOCKAGE,TRACTEUR_07,25.6,OPE001,False,False,True
OP000011,2026-01-01 08:28:39.095526,CONT000624,DEBARQUEMENT_TRAIN,ZONE_C_DANGEREUX,PORTIQUE_03,42.7,OPE023,False,False,True
OP000012,2026-01-01 16:15:24.370672,CONT000683,REGROUPEMENT,QUAI_2_ROUTIER,TRACTEUR_06,97.8,OPE005,False,False,True
OP000013,2026-01-01 11:50:27.956930,CONT002977,TRANSFERT_ZONE,QUAI_2_ROUTIER,GERBEUR_10,15.7,OPE019,False,False,True
OP000014,2026-01-01 15:17:05.791845,CONT000535,TRANSFERT_ZONE,AIRE_REGROUPEMENT,GERBEUR_08,11.3,OPE015,False,False,True
OP000015,2026-01-01 17:31:26.989032,CONT001282,CHARGEMENT_CAMION,ZONE_B_STOCKAGE,PORTIQUE_04,33.7,OPE023,False,False,True
